Type,Day,Count
1,11,16297
1,12,19563
1,13,27268
1,14,24157
1,15,23535
1,16,23687
1,17,20838
1,18,16105
1,19,17909
1,20,20190
1,21,18017
1,22,1
1,25,2
1,29,2
2,11,12985
2,12,15336
2,13,20709
2,14,19400
2,15,19747
2,16,18807
2,17,17163
2,18,13338
2,19,14813
2,20,15926
2,21,13416
2,22,14744
2,23,13513
2,24,14086
2,25,10258
2,26,14790
2,27,20372
2,28,18245
2,29,18239
2,30,3761
3,11,98
3,12,170
3,13,232
3,14,199
3,15,135
3,16,164
3,17,109
3,18,62
3,19,60
3,20,103
3,21,49
5,11,1128
5,12,1327
5,13,1455
5,14,2158
5,15,2874
5,16,1843
5,17,1863
5,18,1365
5,19,1577
5,20,1653
5,21,1093
5,22,1658
5,23,1200
5,24,1254
5,25,795
5,26,1338
5,27,2334
5,28,1567
5,29,1579
5,30,415
